name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"F16_test_75/encode_median",20,10.7265,10.7098,ns,,,,,
"F16_test_75/encode_stddev",20,0.318962,0.293225,ns,,,,,
"F16_ref_75/decode_mean",20,9.57532,9.55255,ns,,,,,
"F16_ref_75/decode_median",20,9.47577,9.46003,ns,,,,,
"F16_ref_75/decode_stddev",20,0.229837,0.214219,ns,,,,,
"F16_test_75/decode_mean",20,9.32231,9.30027,ns,,,,,
"F16_test_75/decode_median",20,9.24317,9.21965,ns,,,,,
"F16_test_75/decode_stddev",20,0.229725,0.21299,ns,,,,,
"F16_ref_76/encode_mean",20,11.3996,11.3676,ns,,,,,
"F16_ref_76/encode_median",20,11.2811,11.2595,ns,,,,,
"F16_ref_76/encode_stddev",20,0.301246,0.275346,ns,,,,,
"F16_test_76/encode_mean",20,10.4779,10.461,ns,,,,,
"F16_test_76/encode_median",20,10.4298,10.4186,ns,,,,,
"F16_test_76/encode_stddev",20,0.215924,0.203023,ns,,,,,
"F16_ref_76/decode_mean",20,15.0075,14.9622,ns,,,,,
"F16_ref_76/decode_median",20,14.8269,14.8041,ns,,,,,
"F16_ref_76/decode_stddev",20,0.329924,0.286208,ns,,,,,
"F16_test_76/decode_mean",20,9.15662,9.13887,ns,,,,,
"F16_test_76/decode_median",20,9.07986,9.0661,ns,,,,,
"F16_test_76/decode_stddev",20,0.216006,0.200035,ns,,,,,
"F16_ref_95/encode_mean",20,14.032,14.01,ns,,,,,
"F16_ref_95/encode_median",20,13.9509,13.9342,ns,,,,,
"F16_ref_95/encode_stddev",20,0.328378,0.308445,ns,,,,,
"F16_test_95/encode_mean",20,13.705,13.6772,ns,,,,,
"F16_test_95/encode_median",20,13.569,13.5491,ns,,,,,
"F16_test_95/encode_stddev",20,0.395437,0.368496,ns,,,,,
"F16_ref_95/decode_mean",20,14.0392,14.0081,ns,,,,,
"F16_ref_95/decode_median",20,13.9217,13.8921,ns,,,,,
"F16_ref_95/decode_stddev",20,0.353204,0.329997,ns,,,,,
"F16_test_95/decode_mean",20,12.4699,12.4379,ns,,,,,
"F16_test_95/decode_median",20,12.3113,12.2952,ns,,,,,
"F16_test_95/decode_stddev",20,0.379555,0.357154,ns,,,,,
"F16_ref_96/encode_mean",20,11.0493,11.0315,ns,,,,,
"F16_ref_96/encode_median",20,10.9861,10.9738,ns,,,,,
"F16_ref_96/encode_stddev",20,0.225736,0.214747,ns,,,,,
"F16_test_96/encode_mean",20,10.9101,10.8838,ns,,,,,
"F16_test_96/encode_median",20,10.8022,10.7669,ns,,,,,
"F16_test_96/encode_stddev",20,0.270869,0.259758,ns,,,,,
